Name,fraction30_Outcome,OR_Outcome,UW_Outcome,fraction30_TotalSplits,OR_TotalSplits,UW_TotalSplits,fraction30_Runtime,OR_Runtime,UW_Runtime,fraction30_Inlining_Rate,OR_Inlining_Rate,UW_Inlining_Rate,Who_Performed_Better,Inlining_Rate_For_Best_Runtime,Run number
serial_zwregistryopen_2.bpl.bpl.txt,TIMEDOUT,OK,TIMEDOUT,9438,346,7664,3598.314834,1166.2258889999998,3598.172851,2.9225435617099103,42.47940503432494,3.549251577998197,OR,42.47940503432494,Run1
sys_zwregistrycreate_0.bpl.bpl.txt,TIMEDOUT,OK,TIMEDOUT,2406,29,880,3598.932342,178.136642,3598.72588,2.33259879535772,13.03225806451613,2.7631154156577886,OR,13.03225806451613,Run1
serial_markingqueuedirps_0.bpl.bpl.txt,TIMEDOUT,OK,TIMEDOUT,9562,1083,8721,3598.217721,839.976472,3596.746925,3.600714204184128,18.01384402399631,4.998235856222282,OR,18.01384402399631,Run1
hw_irqliopassive2_0.bpl.bpl.txt,TIMEDOUT,OK,TIMEDOUT,10027,1026,9470,3598.650205,633.6963030000001,3598.002997,2.9790084943245883,9.994318181818182,3.64694539597559,OR,9.994318181818182,Run1
hw_irqlexallocatepool_0.bpl.bpl.txt,TIMEDOUT,OK,TIMEDOUT,9917,1439,8844,3598.556239,806.912921,3597.779249,3.046497735812699,11.293584545671356,4.208452239715266,OR,11.293584545671356,Run1
sys_zwregistryopen_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,3119,64,292,3599.117954,3598.966976,3598.994041,2.5911344002265966,13.215384615384615,3.147964250248262,NONE,-1,Run1
Imapi_removelockrelease2_0.bpl.bpl.txt,TIMEDOUT,OK,OK,7637,498,4591,3598.930839,2029.7846399999999,2838.2497860000003,19.261821321550105,3.722082018927445,39.26433350488934,OR,3.722082018927445,Run1
hw_irqlkeraiselower_0.bpl.bpl.txt,TIMEDOUT,OK,TIMEDOUT,9423,1200,8413,3598.35344,581.0822,3597.669557,3.8290783110119047,8.91833084947839,5.581730425455846,OR,8.91833084947839,Run1
serial_markingqueuedirps_1.bpl.bpl.txt,TIMEDOUT,OK,TIMEDOUT,9628,1332,8579,3598.451854,1105.033798,3598.529308,3.7349436792116637,18.03046875,4.640250371313389,OR,18.03046875,Run1
mp_iobuildfsdirpsignaleventincompletiontimeout_0.bpl.bpl.txt,TIMEDOUT,OK,TIMEDOUT,8783,1493,7026,3597.131613,613.457119,3596.027345,6.6209723291063005,6.176847860372201,10.486092554354427,OR,6.176847860372201,Run1
parzip_nsremovelockmnremove_0.bpl.bpl.txt,OK,OK,OK,763,938,893,277.647329,408.419068,721.058074,5.8404657016991814,3.3625465068210003,15.893717728055078,fraction30,5.8404657016991814,Run1
serial_zwregistryopen_2.bpl.bpl.txt,TIMEDOUT,OK,TIMEDOUT,8216,346,7664,3597.932612,1166.2258889999998,3598.172851,3.118645584725537,42.47940503432494,3.549251577998197,OR,42.47940503432494,Run2
sys_zwregistrycreate_0.bpl.bpl.txt,TIMEDOUT,OK,TIMEDOUT,3214,29,880,3598.731305,178.136642,3598.72588,2.602475427739352,13.03225806451613,2.7631154156577886,OR,13.03225806451613,Run2
serial_markingqueuedirps_0.bpl.bpl.txt,TIMEDOUT,OK,TIMEDOUT,9303,1083,8721,3597.329832,839.976472,3596.746925,3.437739941811421,18.01384402399631,4.998235856222282,OR,18.01384402399631,Run2
hw_irqliopassive2_0.bpl.bpl.txt,TIMEDOUT,OK,TIMEDOUT,10031,1026,9470,3598.6631,633.6963030000001,3598.002997,2.9907303370786518,9.994318181818182,3.64694539597559,OR,9.994318181818182,Run2
hw_irqlexallocatepool_0.bpl.bpl.txt,TIMEDOUT,OK,TIMEDOUT,9359,1439,8844,3597.571797,806.912921,3597.779249,3.0099264610347425,11.293584545671356,4.208452239715266,OR,11.293584545671356,Run2
sys_zwregistryopen_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,1999,64,292,3598.817314,3598.966976,3598.994041,2.2563417890520694,13.215384615384615,3.147964250248262,NONE,-1,Run2
Imapi_removelockrelease2_0.bpl.bpl.txt,TIMEDOUT,OK,OK,7303,498,4591,3598.892889,2029.7846399999999,2838.2497860000003,18.785336787564766,3.722082018927445,39.26433350488934,OR,3.722082018927445,Run2
hw_irqlkeraiselower_0.bpl.bpl.txt,TIMEDOUT,OK,TIMEDOUT,9328,1200,8413,3596.974929,581.0822,3597.669557,3.5920173557182653,8.91833084947839,5.581730425455846,OR,8.91833084947839,Run2
serial_markingqueuedirps_1.bpl.bpl.txt,TIMEDOUT,OK,TIMEDOUT,9169,1332,8579,3598.058063,1105.033798,3598.529308,3.090709870762315,18.03046875,4.640250371313389,OR,18.03046875,Run2
mp_iobuildfsdirpsignaleventincompletiontimeout_0.bpl.bpl.txt,TIMEDOUT,OK,TIMEDOUT,8182,1493,7026,3597.428503,613.457119,3596.027345,5.77371175369571,6.176847860372201,10.486092554354427,OR,6.176847860372201,Run2
